wandb: Currently logged in as: alexandretl. Use `wandb login --relogin` to force relogin
wandb: Tracking run with wandb version 0.17.8
wandb: Run data is saved locally in /workspace/hash-hop-hub/wandb/run-20240903_161149-xtovi8rv
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run fiery-violet-5
wandb: ⭐️ View project at https://wandb.ai/alexandretl/hash-hop-hub
wandb: 🚀 View run at https://wandb.ai/alexandretl/hash-hop-hub/runs/xtovi8rv
Run name: fiery-violet-5.
Model initialized. Number of parameters : 7251561.
Compiling the model...
Done compiling.
Training is starting.
Iter 023800/100000. train loss : 2.479. valid loss : 2.465. lr : 0.00100. uptime : 00h35min. ETA : 01h50min.
Iter 024000/100000. train loss : 2.466. valid loss : 2.465. lr : 0.00100. uptime : 00h35min. ETA : 01h52min.
Iter 024200/100000. train loss : 2.463. valid loss : 2.466. lr : 0.00100. uptime : 00h36min. ETA : 01h50min.
Iter 024400/100000. train loss : 2.464. valid loss : 2.465. lr : 0.00100. uptime : 00h36min. ETA : 01h49min.
Iter 024600/100000. train loss : 2.468. valid loss : 2.466. lr : 0.00100. uptime : 00h36min. ETA : 01h49min.
Iter 024800/100000. train loss : 2.461. valid loss : 2.462. lr : 0.00100. uptime : 00h37min. ETA : 01h48min.
Iter 025000/100000. train loss : 2.470. valid loss : 2.467. lr : 0.00100. uptime : 00h37min. ETA : 01h50min.
Iter 025200/100000. train loss : 2.468. valid loss : 2.465. lr : 0.00100. uptime : 00h37min. ETA : 01h48min.
Iter 025400/100000. train loss : 2.470. valid loss : 2.465. lr : 0.00100. uptime : 00h38min. ETA : 01h47min.
Iter 025600/100000. train loss : 2.463. valid loss : 2.464. lr : 0.00100. uptime : 00h38min. ETA : 01h47min.
Iter 025800/100000. train loss : 2.460. valid loss : 2.464. lr : 0.00100. uptime : 00h38min. ETA : 01h47min.
Iter 026000/100000. train loss : 2.466. valid loss : 2.464. lr : 0.00100. uptime : 00h38min. ETA : 01h50min.
Iter 026200/100000. train loss : 2.465. valid loss : 2.468. lr : 0.00100. uptime : 00h39min. ETA : 01h46min.
Iter 026400/100000. train loss : 2.462. valid loss : 2.464. lr : 0.00100. uptime : 00h39min. ETA : 01h46min.
