wandb: Currently logged in as: alexandretl. Use `wandb login --relogin` to force relogin
wandb: Tracking run with wandb version 0.17.8
wandb: Run data is saved locally in /workspace/hash-hop-hub/wandb/run-20240903_180237-02pl1fao
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run bright-shadow-6
wandb: ⭐️ View project at https://wandb.ai/alexandretl/hash-hop-hub
wandb: 🚀 View run at https://wandb.ai/alexandretl/hash-hop-hub/runs/02pl1fao
Run name: bright-shadow-6.
Model initialized. Number of parameters : 7251561.
Compiling the model...
Done compiling.
Training is starting.
Iter 025800/100000. train loss : 1.851. valid loss : 1.849. lr : 0.00100. uptime : 00h37min. ETA : 01h42min.
Iter 026000/100000. train loss : 1.847. valid loss : 1.850. lr : 0.00100. uptime : 00h37min. ETA : 01h45min.
Iter 026200/100000. train loss : 1.850. valid loss : 1.851. lr : 0.00100. uptime : 00h37min. ETA : 01h41min.
Iter 026400/100000. train loss : 1.864. valid loss : 1.849. lr : 0.00100. uptime : 00h37min. ETA : 01h41min.
Iter 026600/100000. train loss : 1.857. valid loss : 1.849. lr : 0.00100. uptime : 00h38min. ETA : 01h41min.
Iter 026800/100000. train loss : 1.850. valid loss : 1.848. lr : 0.00100. uptime : 00h38min. ETA : 01h41min.
Iter 027000/100000. train loss : 1.830. valid loss : 1.847. lr : 0.00100. uptime : 00h38min. ETA : 01h45min.
Iter 027200/100000. train loss : 1.858. valid loss : 1.847. lr : 0.00100. uptime : 00h39min. ETA : 01h40min.
Iter 027400/100000. train loss : 1.840. valid loss : 1.848. lr : 0.00100. uptime : 00h39min. ETA : 01h39min.
Iter 027600/100000. train loss : 1.856. valid loss : 1.852. lr : 0.00100. uptime : 00h39min. ETA : 01h39min.
Iter 027800/100000. train loss : 1.863. valid loss : 1.849. lr : 0.00100. uptime : 00h39min. ETA : 01h39min.
Iter 028000/100000. train loss : 1.848. valid loss : 1.849. lr : 0.00100. uptime : 00h40min. ETA : 01h42min.
Iter 028200/100000. train loss : 1.839. valid loss : 1.849. lr : 0.00100. uptime : 00h40min. ETA : 01h38min.
Iter 028400/100000. train loss : 1.848. valid loss : 1.850. lr : 0.00100. uptime : 00h40min. ETA : 01h38min.
Iter 028600/100000. train loss : 1.846. valid loss : 1.846. lr : 0.00100. uptime : 00h41min. ETA : 01h38min.
Iter 028800/100000. train loss : 1.844. valid loss : 1.848. lr : 0.00100. uptime : 00h41min. ETA : 01h38min.
Iter 029000/100000. train loss : 1.855. valid loss : 1.848. lr : 0.00100. uptime : 00h41min. ETA : 01h41min.
Iter 029200/100000. train loss : 1.854. valid loss : 1.850. lr : 0.00100. uptime : 00h41min. ETA : 01h37min.
Iter 029400/100000. train loss : 1.857. valid loss : 1.849. lr : 0.00100. uptime : 00h42min. ETA : 01h37min.
Iter 029600/100000. train loss : 1.852. valid loss : 1.851. lr : 0.00100. uptime : 00h42min. ETA : 01h37min.
Iter 029800/100000. train loss : 1.836. valid loss : 1.846. lr : 0.00100. uptime : 00h42min. ETA : 01h36min.
Iter 030000/100000. train loss : 1.856. valid loss : 1.848. lr : 0.00100. uptime : 00h42min. ETA : 01h41min.
Iter 030200/100000. train loss : 1.844. valid loss : 1.847. lr : 0.00100. uptime : 00h43min. ETA : 01h36min.
Iter 030400/100000. train loss : 1.840. valid loss : 1.850. lr : 0.00100. uptime : 00h43min. ETA : 01h36min.
Iter 030600/100000. train loss : 1.844. valid loss : 1.848. lr : 0.00100. uptime : 00h43min. ETA : 01h35min.
Iter 030800/100000. train loss : 1.840. valid loss : 1.849. lr : 0.00100. uptime : 00h44min. ETA : 01h35min.
Iter 031000/100000. train loss : 1.843. valid loss : 1.848. lr : 0.00100. uptime : 00h44min. ETA : 01h39min.
Iter 031200/100000. train loss : 1.835. valid loss : 1.848. lr : 0.00100. uptime : 00h44min. ETA : 01h35min.
Iter 031400/100000. train loss : 1.844. valid loss : 1.848. lr : 0.00100. uptime : 00h44min. ETA : 01h35min.
Iter 031600/100000. train loss : 1.848. valid loss : 1.848. lr : 0.00100. uptime : 00h45min. ETA : 01h34min.
Iter 031800/100000. train loss : 1.825. valid loss : 1.847. lr : 0.00100. uptime : 00h45min. ETA : 01h34min.
Iter 032000/100000. train loss : 1.854. valid loss : 1.849. lr : 0.00100. uptime : 00h45min. ETA : 01h38min.
Iter 032200/100000. train loss : 1.846. valid loss : 1.848. lr : 0.00100. uptime : 00h46min. ETA : 01h33min.
Iter 032400/100000. train loss : 1.854. valid loss : 1.849. lr : 0.00100. uptime : 00h46min. ETA : 01h33min.
Iter 032600/100000. train loss : 1.852. valid loss : 1.848. lr : 0.00100. uptime : 00h46min. ETA : 01h33min.
Iter 032800/100000. train loss : 1.847. valid loss : 1.850. lr : 0.00100. uptime : 00h46min. ETA : 01h33min.
Iter 033000/100000. train loss : 1.854. valid loss : 1.848. lr : 0.00100. uptime : 00h47min. ETA : 01h36min.
Iter 033200/100000. train loss : 1.842. valid loss : 1.850. lr : 0.00100. uptime : 00h47min. ETA : 01h32min.
Iter 033400/100000. train loss : 1.862. valid loss : 1.849. lr : 0.00100. uptime : 00h47min. ETA : 01h32min.
Iter 033600/100000. train loss : 1.853. valid loss : 1.847. lr : 0.00100. uptime : 00h48min. ETA : 01h32min.
Iter 033800/100000. train loss : 1.871. valid loss : 1.847. lr : 0.00100. uptime : 00h48min. ETA : 01h31min.
Iter 034000/100000. train loss : 1.838. valid loss : 1.848. lr : 0.00100. uptime : 00h48min. ETA : 01h35min.
Iter 034200/100000. train loss : 1.852. valid loss : 1.847. lr : 0.00100. uptime : 00h48min. ETA : 01h31min.
Iter 034400/100000. train loss : 1.842. valid loss : 1.851. lr : 0.00100. uptime : 00h49min. ETA : 01h30min.
Iter 034600/100000. train loss : 1.847. valid loss : 1.848. lr : 0.00100. uptime : 00h49min. ETA : 01h29min.
Iter 034800/100000. train loss : 1.847. valid loss : 1.848. lr : 0.00100. uptime : 00h49min. ETA : 01h29min.
Iter 035000/100000. train loss : 1.856. valid loss : 1.847. lr : 0.00100. uptime : 00h50min. ETA : 01h32min.
Iter 035200/100000. train loss : 1.851. valid loss : 1.850. lr : 0.00100. uptime : 00h50min. ETA : 01h28min.
Iter 035400/100000. train loss : 1.848. valid loss : 1.846. lr : 0.00100. uptime : 00h50min. ETA : 01h28min.
Iter 035600/100000. train loss : 1.841. valid loss : 1.850. lr : 0.00100. uptime : 00h50min. ETA : 01h28min.
Iter 035800/100000. train loss : 1.849. valid loss : 1.849. lr : 0.00100. uptime : 00h51min. ETA : 01h28min.
Iter 036000/100000. train loss : 1.837. valid loss : 1.846. lr : 0.00100. uptime : 00h51min. ETA : 01h32min.
Iter 036200/100000. train loss : 1.860. valid loss : 1.850. lr : 0.00100. uptime : 00h51min. ETA : 01h27min.
Iter 036400/100000. train loss : 1.853. valid loss : 1.846. lr : 0.00100. uptime : 00h51min. ETA : 01h27min.
Iter 036600/100000. train loss : 1.840. valid loss : 1.848. lr : 0.00100. uptime : 00h52min. ETA : 01h27min.
Iter 036800/100000. train loss : 1.847. valid loss : 1.848. lr : 0.00100. uptime : 00h52min. ETA : 01h26min.
Iter 037000/100000. train loss : 1.848. valid loss : 1.848. lr : 0.00100. uptime : 00h52min. ETA : 01h30min.
Iter 037200/100000. train loss : 1.840. valid loss : 1.849. lr : 0.00100. uptime : 00h53min. ETA : 01h26min.
Iter 037400/100000. train loss : 1.848. valid loss : 1.857. lr : 0.00100. uptime : 00h53min. ETA : 01h26min.
Iter 037600/100000. train loss : 1.850. valid loss : 1.849. lr : 0.00100. uptime : 00h53min. ETA : 01h26min.
Iter 037800/100000. train loss : 1.870. valid loss : 1.851. lr : 0.00100. uptime : 00h53min. ETA : 01h26min.
Iter 038000/100000. train loss : 1.868. valid loss : 1.850. lr : 0.00100. uptime : 00h54min. ETA : 01h29min.
Iter 038200/100000. train loss : 1.853. valid loss : 1.848. lr : 0.00100. uptime : 00h54min. ETA : 01h24min.
Iter 038400/100000. train loss : 1.845. valid loss : 1.850. lr : 0.00100. uptime : 00h54min. ETA : 01h24min.
Iter 038600/100000. train loss : 1.836. valid loss : 1.850. lr : 0.00100. uptime : 00h55min. ETA : 01h24min.
Iter 038800/100000. train loss : 1.843. valid loss : 1.847. lr : 0.00100. uptime : 00h55min. ETA : 01h23min.
Iter 039000/100000. train loss : 1.844. valid loss : 1.849. lr : 0.00100. uptime : 00h55min. ETA : 01h28min.
Iter 039200/100000. train loss : 1.849. valid loss : 1.846. lr : 0.00100. uptime : 00h55min. ETA : 01h23min.
Iter 039400/100000. train loss : 1.838. valid loss : 1.850. lr : 0.00100. uptime : 00h56min. ETA : 01h23min.
Iter 039600/100000. train loss : 1.838. valid loss : 1.848. lr : 0.00100. uptime : 00h56min. ETA : 01h22min.
Iter 039800/100000. train loss : 1.855. valid loss : 1.848. lr : 0.00100. uptime : 00h56min. ETA : 01h22min.
Iter 040000/100000. train loss : 1.844. valid loss : 1.849. lr : 0.00100. uptime : 00h57min. ETA : 01h25min.
